onset	event_name	ring_type	position
0	ring	neu	532
1.5	prep	neu	532
3	dot	neu	532
4.5	iti	NA	NA
6	ring	rew	7
7.5	prep	rew	7
9	dot	rew	7
10.5	iti	NA	NA
12	ring	rew	214
13.5	prep	rew	214
15	dot	rew	214
16.5	iti	NA	NA
18	ring	neu	633
19.5	prep	neu	633
21	dot	neu	633
22.5	iti	NA	NA
24	ring	neu	214
25.5	prep	neu	214
27	dot	neu	214
28.5	iti	NA	NA
30	ring	neu	7
31.5	prep	neu	7
33	dot	neu	7
34.5	iti	NA	NA
36	ring	neu	108
37.5	prep	neu	108
39	dot	neu	108
40.5	iti	NA	NA
42	ring	rew	532
43.5	prep	rew	532
45	dot	rew	532
46.5	iti	NA	NA
48	ring	rew	426
49.5	prep	rew	426
51	dot	rew	426
52.5	iti	NA	NA
54	ring	neu	7
55.5	prep	neu	7
57	dot	neu	7
58.5	iti	NA	NA
60	ring	rew	633
61.5	prep	rew	633
63	dot	rew	633
64.5	iti	NA	NA
66	ring	neu	108
67.5	prep	neu	108
69	dot	neu	108
70.5	iti	NA	NA
72	ring	neu	426
73.5	prep	neu	426
75	dot	neu	426
76.5	iti	NA	NA
78	ring	neu	532
79.5	prep	neu	532
81	dot	neu	532
82.5	iti	NA	NA
84	ring	rew	633
85.5	prep	rew	633
87	dot	rew	633
88.5	iti	NA	NA
90	ring	rew	7
91.5	prep	rew	7
93	dot	rew	7
94.5	iti	NA	NA
96	ring	neu	7
97.5	prep	neu	7
99	dot	neu	7
100.5	iti	NA	NA
102	ring	neu	633
103.5	prep	neu	633
105	dot	neu	633
106.5	iti	NA	NA
108	ring	neu	532
109.5	prep	neu	532
111	dot	neu	532
112.5	iti	NA	NA
114	ring	rew	214
115.5	prep	rew	214
117	dot	rew	214
118.5	iti	NA	NA
120	ring	neu	426
121.5	prep	neu	426
123	dot	neu	426
124.5	iti	NA	NA
126	ring	neu	214
127.5	prep	neu	214
129	dot	neu	214
130.5	iti	NA	NA
132	ring	rew	426
133.5	prep	rew	426
135	dot	rew	426
136.5	iti	NA	NA
138	ring	rew	108
139.5	prep	rew	108
141	dot	rew	108
142.5	iti	NA	NA
144	ring	neu	633
145.5	prep	neu	633
147	dot	neu	633
148.5	iti	NA	NA
150	ring	rew	108
151.5	prep	rew	108
153	dot	rew	108
154.5	iti	NA	NA
156	ring	rew	633
157.5	prep	rew	633
159	dot	rew	633
160.5	iti	NA	NA
162	ring	rew	7
163.5	prep	rew	7
165	dot	rew	7
166.5	iti	NA	NA
