onset	event_name	ring_type	position
422.86	ring	rew	NA
424.54	iti	iti	NA
426.04	ring	rew	633
427.54	prep	rew	633
429.04	dot	rew	633
430.66	iti	iti	NA
432.16	ring	rew	426
433.66	prep	rew	426
435.16	dot	rew	426
436.81	iti	iti	NA
438.31	ring	rew	NA
439.81	prep	rew	NA
441.49	iti	iti	NA
442.99	ring	neu	7
444.49	prep	neu	7
445.99	dot	neu	7
447.53	iti	iti	NA
449.03	ring	neu	NA
450.53	prep	neu	NA
452.41	iti	iti	NA
453.91	ring	neu	633
455.41	prep	neu	633
456.91	dot	neu	633
458.96	iti	iti	NA
460.46	ring	neu	214
461.96	prep	neu	214
463.46	dot	neu	214
465.61	iti	iti	NA
467.11	ring	rew	NA
468.96	iti	iti	NA
470.46	ring	neu	214
471.96	prep	neu	214
473.46	dot	neu	214
475.17	iti	iti	NA
476.67	ring	neu	633
478.17	prep	neu	633
479.67	dot	neu	633
481.85	iti	iti	NA
483.35	ring	neu	NA
485.53	iti	iti	NA
487.03	ring	rew	7
488.53	prep	rew	7
490.03	dot	rew	7
492.19	iti	iti	NA
493.69	ring	rew	633
495.19	prep	rew	633
496.69	dot	rew	633
498.53	iti	iti	NA
500.03	ring	neu	NA
501.84	iti	iti	NA
503.34	ring	neu	214
504.84	prep	neu	214
506.34	dot	neu	214
508.5	iti	iti	NA
