onset	event_name	ring_type	position
0	iti	iti	NA
3	ring	rew	NA
4.53	iti	iti	NA
6.03	ring	neu	214
7.53	prep	neu	214
9.03	dot	neu	214
10.99	iti	iti	NA
12.49	ring	neu	426
13.99	prep	neu	426
15.49	dot	neu	426
19.82	iti	iti	NA
21.32	ring	rew	NA
22.82	prep	rew	NA
24.69	iti	iti	NA
26.19	ring	neu	NA
27.69	prep	neu	NA
29.21	iti	iti	NA
30.71	ring	neu	7
32.21	prep	neu	7
33.71	dot	neu	7
35.89	iti	iti	NA
37.39	ring	neu	426
38.89	prep	neu	426
40.39	dot	neu	426
42.03	iti	iti	NA
43.53	ring	rew	633
45.03	prep	rew	633
46.53	dot	rew	633
48.16	iti	iti	NA
49.66	ring	neu	NA
51.16	prep	neu	NA
52.66	iti	iti	NA
54.16	ring	rew	7
55.66	prep	rew	7
57.16	dot	rew	7
58.91	iti	iti	NA
60.41	ring	rew	NA
62.27	iti	iti	NA
63.77	ring	rew	214
65.27	prep	rew	214
66.77	dot	rew	214
68.43	iti	iti	NA
69.93	ring	rew	633
71.43	prep	rew	633
72.93	dot	rew	633
74.59	iti	iti	NA
76.09	ring	neu	NA
77.99	iti	iti	NA
79.49	ring	neu	633
80.99	prep	neu	633
82.49	dot	neu	633
84.41	iti	iti	NA
85.91	ring	neu	7
87.41	prep	neu	7
88.91	dot	neu	7
90.45	iti	iti	NA
91.95	ring	neu	NA
93.98	iti	iti	NA
95.48	ring	neu	426
96.98	prep	neu	426
98.48	dot	neu	426
100.12	iti	iti	NA
101.62	ring	rew	633
103.12	prep	rew	633
104.62	dot	rew	633
106.45	iti	iti	NA
107.95	ring	neu	214
109.45	prep	neu	214
110.95	dot	neu	214
112.58	iti	iti	NA
114.08	ring	neu	633
115.58	prep	neu	633
117.08	dot	neu	633
119.88	iti	iti	NA
121.38	ring	neu	NA
122.88	prep	neu	NA
125.17	iti	iti	NA
126.67	ring	rew	426
128.17	prep	rew	426
129.67	dot	rew	426
132.77	iti	iti	NA
134.27	ring	rew	NA
135.85	iti	iti	NA
137.35	ring	rew	214
138.85	prep	rew	214
140.35	dot	rew	214
142.15	iti	iti	NA
143.65	ring	rew	633
145.15	prep	rew	633
146.65	dot	rew	633
148.62	iti	iti	NA
150.12	ring	neu	426
151.62	prep	neu	426
153.12	dot	neu	426
154.8	iti	iti	NA
156.3	ring	rew	NA
157.8	prep	rew	NA
159.6	iti	iti	NA
161.1	ring	rew	426
162.6	prep	rew	426
164.1	dot	rew	426
166.2	iti	iti	NA
167.7	ring	rew	7
169.2	prep	rew	7
170.7	dot	rew	7
172.72	iti	iti	NA
174.22	ring	neu	NA
175.87	iti	iti	NA
177.37	ring	rew	214
178.87	prep	rew	214
180.37	dot	rew	214
182.39	iti	iti	NA
183.89	ring	rew	426
185.39	prep	rew	426
186.89	dot	rew	426
188.76	iti	iti	NA
190.26	ring	rew	NA
191.76	prep	rew	NA
193.35	iti	iti	NA
194.85	ring	neu	7
196.35	prep	neu	7
197.85	dot	neu	7
199.36	iti	iti	NA
200.86	ring	neu	NA
202.86	iti	iti	NA
204.36	ring	neu	214
205.86	prep	neu	214
207.36	dot	neu	214
209.16	iti	iti	NA
210.66	ring	rew	633
212.16	prep	rew	633
213.66	dot	rew	633
215.62	iti	iti	NA
217.12	ring	neu	NA
218.81	iti	iti	NA
220.31	ring	rew	633
221.81	prep	rew	633
223.31	dot	rew	633
225.15	iti	iti	NA
226.65	ring	rew	214
228.15	prep	rew	214
229.65	dot	rew	214
231.6	iti	iti	NA
233.1	ring	neu	426
234.6	prep	neu	426
236.1	dot	neu	426
239.42	iti	iti	NA
240.92	ring	neu	214
242.42	prep	neu	214
243.92	dot	neu	214
245.68	iti	iti	NA
247.18	ring	neu	NA
249.18	iti	iti	NA
250.68	ring	rew	7
252.18	prep	rew	7
253.68	dot	rew	7
256.38	iti	iti	NA
257.88	ring	rew	633
259.38	prep	rew	633
260.88	dot	rew	633
262.49	iti	iti	NA
263.99	ring	rew	NA
265.62	iti	iti	NA
267.12	ring	rew	214
268.62	prep	rew	214
270.12	dot	rew	214
271.81	iti	iti	NA
273.31	ring	rew	426
274.81	prep	rew	426
276.31	dot	rew	426
278.27	iti	iti	NA
279.77	ring	neu	7
281.27	prep	neu	7
282.77	dot	neu	7
284.31	iti	iti	NA
285.81	ring	neu	633
287.31	prep	neu	633
288.81	dot	neu	633
290.36	iti	iti	NA
291.86	ring	rew	NA
293.61	iti	iti	NA
295.11	ring	neu	7
296.61	prep	neu	7
298.11	dot	neu	7
299.9	iti	iti	NA
301.4	ring	rew	426
302.9	prep	rew	426
304.4	dot	rew	426
306.06	iti	iti	NA
307.56	ring	neu	NA
309.25	iti	iti	NA
310.75	ring	rew	NA
313.36	iti	iti	NA
314.86	ring	neu	214
316.36	prep	neu	214
317.86	dot	neu	214
319.8	iti	iti	NA
321.3	ring	neu	7
322.8	prep	neu	7
324.3	dot	neu	7
326.28	iti	iti	NA
327.78	ring	rew	633
329.28	prep	rew	633
330.78	dot	rew	633
333.96	iti	iti	NA
335.46	ring	rew	NA
338.12	iti	iti	NA
339.62	ring	neu	214
341.12	prep	neu	214
342.62	dot	neu	214
344.58	iti	iti	NA
346.08	ring	neu	NA
348.09	iti	iti	NA
349.59	ring	neu	633
351.09	prep	neu	633
352.59	dot	neu	633
354.27	iti	iti	NA
355.77	ring	neu	426
357.27	prep	neu	426
358.77	dot	neu	426
361	iti	iti	NA
362.5	ring	neu	NA
364	prep	neu	NA
366.77	iti	iti	NA
368.27	ring	rew	NA
369.93	iti	iti	NA
371.43	ring	neu	426
372.93	prep	neu	426
374.43	dot	neu	426
376.13	iti	iti	NA
377.63	ring	rew	7
379.13	prep	rew	7
380.63	dot	rew	7
382.46	iti	iti	NA
383.96	ring	neu	214
385.46	prep	neu	214
386.96	dot	neu	214
388.96	iti	iti	NA
390.46	ring	neu	633
391.96	prep	neu	633
393.46	dot	neu	633
395.36	iti	iti	NA
396.86	ring	rew	7
398.36	prep	rew	7
399.86	dot	rew	7
401.67	iti	iti	NA
403.17	ring	rew	214
404.67	prep	rew	214
406.17	dot	rew	214
407.76	iti	iti	NA
409.26	ring	neu	426
410.76	prep	neu	426
412.26	dot	neu	426
414.22	iti	iti	NA
415.72	ring	neu	633
417.22	prep	neu	633
418.72	dot	neu	633
420.58	iti	iti	NA
422.08	ring	rew	NA
424.66	iti	iti	NA
426.16	ring	neu	214
427.66	prep	neu	214
429.16	dot	neu	214
431.6	iti	iti	NA
433.1	ring	neu	NA
434.6	prep	neu	NA
436.65	iti	iti	NA
438.15	ring	neu	NA
439.93	iti	iti	NA
441.43	ring	rew	7
442.93	prep	rew	7
444.43	dot	rew	7
446.67	iti	iti	NA
448.17	ring	rew	633
449.67	prep	rew	633
451.17	dot	rew	633
452.74	iti	iti	NA
454.24	ring	neu	214
455.74	prep	neu	214
457.24	dot	neu	214
458.81	iti	iti	NA
460.31	ring	rew	NA
461.81	prep	rew	NA
464.13	iti	iti	NA
465.63	ring	rew	NA
467.13	prep	rew	NA
468.77	iti	iti	NA
470.27	ring	neu	NA
472.04	iti	iti	NA
473.54	ring	rew	7
475.04	prep	rew	7
476.54	dot	rew	7
478.46	iti	iti	NA
479.96	ring	rew	7
481.46	prep	rew	7
482.96	dot	rew	7
485.73	iti	iti	NA
487.23	ring	rew	NA
488.76	iti	iti	NA
490.26	ring	neu	426
491.76	prep	neu	426
493.26	dot	neu	426
495.1	iti	iti	NA
496.6	ring	rew	7
498.1	prep	rew	7
499.6	dot	rew	7
502.15	iti	iti	NA
503.65	ring	rew	426
505.15	prep	rew	426
506.65	dot	rew	426
508.5	iti	iti	NA
