onset	event_name	ring_type	position
0	ring	rew	108
1.5	prep	rew	108
3	dot	rew	108
4.5	iti	NA	NA
6	ring	rew	532
7.5	prep	rew	532
9	dot	rew	532
10.5	iti	NA	NA
12	ring	rew	7
13.5	prep	rew	7
15	dot	rew	7
16.5	iti	NA	NA
18	ring	neu	7
19.5	prep	neu	7
21	dot	neu	7
22.5	iti	NA	NA
24	ring	neu	426
25.5	prep	neu	426
27	dot	neu	426
28.5	iti	NA	NA
30	ring	rew	633
31.5	prep	rew	633
33	dot	rew	633
34.5	iti	NA	NA
36	ring	neu	532
37.5	prep	neu	532
39	dot	neu	532
40.5	iti	NA	NA
42	ring	neu	214
43.5	prep	neu	214
45	dot	neu	214
46.5	iti	NA	NA
48	ring	neu	426
49.5	prep	neu	426
51	dot	neu	426
52.5	iti	NA	NA
54	ring	rew	426
55.5	prep	rew	426
57	dot	rew	426
58.5	iti	NA	NA
60	ring	rew	214
61.5	prep	rew	214
63	dot	rew	214
64.5	iti	NA	NA
66	ring	rew	214
67.5	prep	rew	214
69	dot	rew	214
70.5	iti	NA	NA
72	ring	rew	108
73.5	prep	rew	108
75	dot	rew	108
76.5	iti	NA	NA
78	ring	neu	7
79.5	prep	neu	7
81	dot	neu	7
82.5	iti	NA	NA
84	ring	neu	532
85.5	prep	neu	532
87	dot	neu	532
88.5	iti	NA	NA
90	ring	neu	108
91.5	prep	neu	108
93	dot	neu	108
94.5	iti	NA	NA
96	ring	neu	633
97.5	prep	neu	633
99	dot	neu	633
100.5	iti	NA	NA
102	ring	rew	532
103.5	prep	rew	532
105	dot	rew	532
106.5	iti	NA	NA
108	ring	rew	426
109.5	prep	rew	426
111	dot	rew	426
112.5	iti	NA	NA
114	ring	rew	633
115.5	prep	rew	633
117	dot	rew	633
118.5	iti	NA	NA
120	ring	neu	633
121.5	prep	neu	633
123	dot	neu	633
124.5	iti	NA	NA
126	ring	rew	633
127.5	prep	rew	633
129	dot	rew	633
130.5	iti	NA	NA
132	ring	neu	214
133.5	prep	neu	214
135	dot	neu	214
136.5	iti	NA	NA
138	ring	rew	7
139.5	prep	rew	7
141	dot	rew	7
142.5	iti	NA	NA
144	ring	neu	7
145.5	prep	neu	7
147	dot	neu	7
148.5	iti	NA	NA
150	ring	rew	7
151.5	prep	rew	7
153	dot	rew	7
154.5	iti	NA	NA
156	ring	neu	108
157.5	prep	neu	108
159	dot	neu	108
160.5	iti	NA	NA
162	ring	neu	633
163.5	prep	neu	633
165	dot	neu	633
166.5	iti	NA	NA
