onset	event_name	ring_type	position
0	ring	neu	426
1.5	prep	neu	426
3	dot	neu	426
4.5	iti	NA	NA
6	ring	rew	7
7.5	prep	rew	7
9	dot	rew	7
10.5	iti	NA	NA
12	ring	neu	633
13.5	prep	neu	633
15	dot	neu	633
16.5	iti	NA	NA
18	ring	rew	633
19.5	prep	rew	633
21	dot	rew	633
22.5	iti	NA	NA
24	ring	rew	426
25.5	prep	rew	426
27	dot	rew	426
28.5	iti	NA	NA
30	ring	neu	108
31.5	prep	neu	108
33	dot	neu	108
34.5	iti	NA	NA
36	ring	rew	633
37.5	prep	rew	633
39	dot	rew	633
40.5	iti	NA	NA
42	ring	neu	633
43.5	prep	neu	633
45	dot	neu	633
46.5	iti	NA	NA
48	ring	neu	7
49.5	prep	neu	7
51	dot	neu	7
52.5	iti	NA	NA
54	ring	rew	532
55.5	prep	rew	532
57	dot	rew	532
58.5	iti	NA	NA
60	ring	rew	7
61.5	prep	rew	7
63	dot	rew	7
64.5	iti	NA	NA
66	ring	rew	532
67.5	prep	rew	532
69	dot	rew	532
70.5	iti	NA	NA
72	ring	neu	214
73.5	prep	neu	214
75	dot	neu	214
76.5	iti	NA	NA
78	ring	rew	108
79.5	prep	rew	108
81	dot	rew	108
82.5	iti	NA	NA
84	ring	neu	7
85.5	prep	neu	7
87	dot	neu	7
88.5	iti	NA	NA
90	ring	neu	426
91.5	prep	neu	426
93	dot	neu	426
94.5	iti	NA	NA
96	ring	neu	214
97.5	prep	neu	214
99	dot	neu	214
100.5	iti	NA	NA
102	ring	rew	426
103.5	prep	rew	426
105	dot	rew	426
106.5	iti	NA	NA
108	ring	neu	633
109.5	prep	neu	633
111	dot	neu	633
112.5	iti	NA	NA
114	ring	rew	108
115.5	prep	rew	108
117	dot	rew	108
118.5	iti	NA	NA
120	ring	neu	532
121.5	prep	neu	532
123	dot	neu	532
124.5	iti	NA	NA
126	ring	neu	7
127.5	prep	neu	7
129	dot	neu	7
130.5	iti	NA	NA
132	ring	neu	532
133.5	prep	neu	532
135	dot	neu	532
136.5	iti	NA	NA
138	ring	rew	7
139.5	prep	rew	7
141	dot	rew	7
142.5	iti	NA	NA
144	ring	rew	633
145.5	prep	rew	633
147	dot	rew	633
148.5	iti	NA	NA
150	ring	rew	214
151.5	prep	rew	214
153	dot	rew	214
154.5	iti	NA	NA
156	ring	rew	214
157.5	prep	rew	214
159	dot	rew	214
160.5	iti	NA	NA
162	ring	neu	108
163.5	prep	neu	108
165	dot	neu	108
166.5	iti	NA	NA
