onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	neu	NA
5.5	prep	neu	NA
7	iti	iti	NA
9.29	ring	rew	NA
10.79	iti	iti	NA
13.76	ring	neu	214
15.26	prep	neu	214
16.76	dot	neu	214
18.26	iti	iti	NA
20.27	ring	neu	214
21.77	prep	neu	214
23.27	dot	neu	214
24.77	iti	iti	NA
28.18	ring	rew	7
29.68	prep	rew	7
31.18	dot	rew	7
32.68	iti	iti	NA
34.41	ring	rew	633
35.91	prep	rew	633
37.41	dot	rew	633
38.91	iti	iti	NA
45.49	ring	neu	NA
46.99	iti	iti	NA
51.93	ring	rew	NA
53.43	prep	rew	NA
54.93	iti	iti	NA
57.05	ring	rew	7
58.55	prep	rew	7
60.05	dot	rew	7
61.55	iti	iti	NA
63.16	ring	neu	214
64.66	prep	neu	214
66.16	dot	neu	214
67.66	iti	iti	NA
71.45	ring	rew	NA
72.95	iti	iti	NA
74.59	ring	rew	633
76.09	prep	rew	633
77.59	dot	rew	633
79.09	iti	iti	NA
82.62	ring	rew	633
84.12	prep	rew	633
85.62	dot	rew	633
87.12	iti	iti	NA
92.52	ring	neu	214
94.02	prep	neu	214
95.52	dot	neu	214
97.02	iti	iti	NA
100.04	ring	neu	7
101.54	prep	neu	7
103.04	dot	neu	7
104.54	iti	iti	NA
110.09	ring	rew	426
111.59	prep	rew	426
113.09	dot	rew	426
114.59	iti	iti	NA
116.28	ring	neu	NA
117.78	iti	iti	NA
119.88	ring	rew	426
121.38	prep	rew	426
122.88	dot	rew	426
124.38	iti	iti	NA
127	ring	rew	7
128.5	prep	rew	7
130	dot	rew	7
131.5	iti	iti	NA
135.78	ring	neu	7
137.28	prep	neu	7
138.78	dot	neu	7
140.28	iti	iti	NA
142.13	ring	rew	NA
143.63	iti	iti	NA
146.17	ring	neu	426
147.67	prep	neu	426
149.17	dot	neu	426
150.67	iti	iti	NA
152.35	ring	neu	633
153.85	prep	neu	633
155.35	dot	neu	633
156.85	iti	iti	NA
158.6	ring	neu	NA
160.1	iti	iti	NA
165.33	ring	neu	633
166.83	prep	neu	633
168.33	dot	neu	633
169.83	iti	iti	NA
171.45	ring	neu	7
172.95	prep	neu	7
174.45	dot	neu	7
175.95	iti	iti	NA
179.15	ring	rew	426
180.65	prep	rew	426
182.15	dot	rew	426
183.65	iti	iti	NA
185.27	ring	rew	NA
186.77	prep	rew	NA
188.27	iti	iti	NA
189.9	ring	neu	426
191.4	prep	neu	426
192.9	dot	neu	426
194.4	iti	iti	NA
196.26	ring	neu	NA
197.76	iti	iti	NA
199.53	ring	neu	7
201.03	prep	neu	7
202.53	dot	neu	7
204.03	iti	iti	NA
206.54	ring	neu	426
208.04	prep	neu	426
209.54	dot	neu	426
211.04	iti	iti	NA
215.73	ring	rew	7
217.23	prep	rew	7
218.73	dot	rew	7
220.23	iti	iti	NA
222.41	ring	rew	214
223.91	prep	rew	214
225.41	dot	rew	214
226.91	iti	iti	NA
230.37	ring	neu	NA
231.87	prep	neu	NA
233.37	iti	iti	NA
238.1	ring	rew	NA
239.6	iti	iti	NA
241.14	ring	rew	633
242.64	prep	rew	633
244.14	dot	rew	633
245.64	iti	iti	NA
247.18	ring	rew	NA
248.68	iti	iti	NA
250.94	ring	neu	NA
252.44	iti	iti	NA
254.66	ring	neu	426
256.16	prep	neu	426
257.66	dot	neu	426
259.16	iti	iti	NA
261.04	ring	rew	214
262.54	prep	rew	214
264.04	dot	rew	214
265.54	iti	iti	NA
270.3	ring	rew	214
271.8	prep	rew	214
273.3	dot	rew	214
274.8	iti	iti	NA
278.7	ring	neu	633
280.2	prep	neu	633
281.7	dot	neu	633
283.2	iti	iti	NA
284.94	ring	neu	633
286.44	prep	neu	633
287.94	dot	neu	633
289.44	iti	iti	NA
291.7	ring	rew	426
293.2	prep	rew	426
294.7	dot	rew	426
296.2	iti	iti	NA
297.94	ring	rew	214
299.44	prep	rew	214
300.94	dot	rew	214
302.44	iti	iti	NA
302.7	iti	NA	NA
