onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	NA
11.07	iti	iti	NA
12.57	ring	rew	426
14.07	prep	rew	426
15.57	dot	rew	426
17.16	iti	iti	NA
18.66	ring	rew	214
20.16	prep	rew	214
21.66	dot	rew	214
34.17	iti	iti	NA
35.67	ring	neu	7
37.17	prep	neu	7
38.67	dot	neu	7
42.36	iti	iti	NA
43.86	ring	neu	426
45.36	prep	neu	426
46.86	dot	neu	426
57.24	iti	iti	NA
58.74	ring	rew	NA
69.56	iti	iti	NA
71.06	ring	neu	NA
72.56	prep	neu	NA
81.52	iti	iti	NA
83.02	ring	rew	214
84.52	prep	rew	214
86.02	dot	rew	214
97.83	iti	iti	NA
99.33	ring	neu	NA
111.9	iti	iti	NA
113.4	ring	rew	633
114.9	prep	rew	633
116.4	dot	rew	633
122.52	iti	iti	NA
124.02	ring	rew	7
125.52	prep	rew	7
127.02	dot	rew	7
135.05	iti	iti	NA
136.55	ring	rew	NA
146.68	iti	iti	NA
148.18	ring	neu	633
149.68	prep	neu	633
151.18	dot	neu	633
157.21	iti	iti	NA
158.71	ring	neu	426
160.21	prep	neu	426
161.71	dot	neu	426
166.96	iti	iti	NA
168.46	ring	neu	NA
171.43	iti	iti	NA
172.93	ring	neu	7
174.43	prep	neu	7
175.93	dot	neu	7
179.2	iti	iti	NA
180.7	ring	neu	214
182.2	prep	neu	214
183.7	dot	neu	214
187.75	iti	iti	NA
189.25	ring	rew	426
190.75	prep	rew	426
192.25	dot	rew	426
204.74	iti	iti	NA
206.24	ring	rew	633
207.74	prep	rew	633
209.24	dot	rew	633
216.23	iti	iti	NA
217.73	ring	neu	NA
225.84	iti	iti	NA
227.34	ring	rew	NA
228.84	prep	rew	NA
235.62	iti	iti	NA
237.12	ring	neu	633
238.62	prep	neu	633
240.12	dot	neu	633
243.56	iti	iti	NA
245.06	ring	neu	214
246.56	prep	neu	214
248.06	dot	neu	214
258.12	iti	iti	NA
259.62	ring	rew	7
261.12	prep	rew	7
262.62	dot	rew	7
277.26	iti	iti	NA
278.76	ring	rew	426
280.26	prep	rew	426
281.76	dot	rew	426
294.04	iti	iti	NA
295.54	ring	neu	426
297.04	prep	neu	426
298.54	dot	neu	426
302.7	iti	iti	NA
