onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	NA
15.66	iti	iti	NA
17.16	ring	neu	7
18.66	prep	neu	7
20.16	dot	neu	7
21.82	iti	iti	NA
23.32	ring	neu	633
24.82	prep	neu	633
26.32	dot	neu	633
40.58	iti	iti	NA
42.08	ring	rew	214
43.58	prep	rew	214
45.08	dot	rew	214
55.71	iti	iti	NA
57.21	ring	rew	NA
64.99	iti	iti	NA
66.49	ring	rew	7
67.99	prep	rew	7
69.49	dot	rew	7
73.44	iti	iti	NA
74.94	ring	neu	426
76.44	prep	neu	426
77.94	dot	neu	426
81.71	iti	iti	NA
83.21	ring	neu	633
84.71	prep	neu	633
86.21	dot	neu	633
93.23	iti	iti	NA
94.73	ring	neu	NA
109.59	iti	iti	NA
111.09	ring	neu	NA
112.59	prep	neu	NA
125.96	iti	iti	NA
127.46	ring	neu	426
128.96	prep	neu	426
130.46	dot	neu	426
133.31	iti	iti	NA
134.81	ring	neu	214
136.31	prep	neu	214
137.81	dot	neu	214
150	iti	iti	NA
151.5	ring	rew	633
153	prep	rew	633
154.5	dot	rew	633
163.69	iti	iti	NA
165.19	ring	neu	NA
172.41	iti	iti	NA
173.91	ring	rew	633
175.41	prep	rew	633
176.91	dot	rew	633
185.65	iti	iti	NA
187.15	ring	neu	214
188.65	prep	neu	214
190.15	dot	neu	214
196.91	iti	iti	NA
198.41	ring	neu	7
199.91	prep	neu	7
201.41	dot	neu	7
206.79	iti	iti	NA
208.29	ring	rew	7
209.79	prep	rew	7
211.29	dot	rew	7
214.46	iti	iti	NA
215.96	ring	rew	426
217.46	prep	rew	426
218.96	dot	rew	426
220.66	iti	iti	NA
222.16	ring	neu	NA
224.9	iti	iti	NA
226.4	ring	rew	NA
241.21	iti	iti	NA
242.71	ring	rew	7
244.21	prep	rew	7
245.71	dot	rew	7
247.53	iti	iti	NA
249.03	ring	rew	426
250.53	prep	rew	426
252.03	dot	rew	426
265.68	iti	iti	NA
267.18	ring	neu	426
268.68	prep	neu	426
270.18	dot	neu	426
278.82	iti	iti	NA
280.32	ring	rew	214
281.82	prep	rew	214
283.32	dot	rew	214
287.95	iti	iti	NA
289.45	ring	rew	NA
290.95	prep	rew	NA
302.7	iti	iti	NA
