onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	neu	633
5.5	prep	neu	633
7	dot	neu	633
21.78	iti	iti	NA
23.28	ring	rew	214
24.78	prep	rew	214
26.28	dot	rew	214
32.75	iti	iti	NA
34.25	ring	rew	NA
35.75	prep	rew	NA
47.13	iti	iti	NA
48.63	ring	neu	426
50.13	prep	neu	426
51.63	dot	neu	426
57.03	iti	iti	NA
58.53	ring	neu	7
60.03	prep	neu	7
61.53	dot	neu	7
64.74	iti	iti	NA
66.24	ring	neu	NA
76.04	iti	iti	NA
77.54	ring	rew	426
79.04	prep	rew	426
80.54	dot	rew	426
92.8	iti	iti	NA
94.3	ring	rew	633
95.8	prep	rew	633
97.3	dot	rew	633
104.59	iti	iti	NA
106.09	ring	neu	NA
107.59	prep	neu	NA
116.37	iti	iti	NA
117.87	ring	rew	214
119.37	prep	rew	214
120.87	dot	rew	214
122.59	iti	iti	NA
124.09	ring	rew	633
125.59	prep	rew	633
127.09	dot	rew	633
128.7	iti	iti	NA
130.2	ring	neu	633
131.7	prep	neu	633
133.2	dot	neu	633
134.99	iti	iti	NA
136.49	ring	neu	214
137.99	prep	neu	214
139.49	dot	neu	214
149.38	iti	iti	NA
150.88	ring	neu	NA
162.76	iti	iti	NA
164.26	ring	rew	7
165.76	prep	rew	7
167.26	dot	rew	7
170.47	iti	iti	NA
171.97	ring	rew	426
173.47	prep	rew	426
174.97	dot	rew	426
189.16	iti	iti	NA
190.66	ring	neu	NA
193.45	iti	iti	NA
194.95	ring	neu	7
196.45	prep	neu	7
197.95	dot	neu	7
202.75	iti	iti	NA
204.25	ring	rew	7
205.75	prep	rew	7
207.25	dot	rew	7
217.77	iti	iti	NA
219.27	ring	neu	426
220.77	prep	neu	426
222.27	dot	neu	426
224.72	iti	iti	NA
226.22	ring	neu	214
227.72	prep	neu	214
229.22	dot	neu	214
242.01	iti	iti	NA
243.51	ring	rew	633
245.01	prep	rew	633
246.51	dot	rew	633
251.63	iti	iti	NA
253.13	ring	rew	NA
266.69	iti	iti	NA
268.19	ring	neu	633
269.69	prep	neu	633
271.19	dot	neu	633
273.25	iti	iti	NA
274.75	ring	rew	NA
286.82	iti	iti	NA
288.32	ring	rew	NA
302.7	iti	iti	NA
