onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	633
5.5	prep	rew	633
7	dot	rew	633
10.05	iti	iti	NA
11.55	ring	rew	7
13.05	prep	rew	7
14.55	dot	rew	7
17.42	iti	iti	NA
18.92	ring	rew	NA
31.93	iti	iti	NA
33.43	ring	neu	633
34.93	prep	neu	633
36.43	dot	neu	633
41.23	iti	iti	NA
42.73	ring	neu	NA
44.23	prep	neu	NA
53.1	iti	iti	NA
54.6	ring	rew	426
56.1	prep	rew	426
57.6	dot	rew	426
64.82	iti	iti	NA
66.32	ring	neu	214
67.82	prep	neu	214
69.32	dot	neu	214
72.14	iti	iti	NA
73.64	ring	neu	426
75.14	prep	neu	426
76.64	dot	neu	426
91.35	iti	iti	NA
92.85	ring	neu	NA
105.6	iti	iti	NA
107.1	ring	neu	7
108.6	prep	neu	7
110.1	dot	neu	7
123.95	iti	iti	NA
125.45	ring	rew	426
126.95	prep	rew	426
128.45	dot	rew	426
143.42	iti	iti	NA
144.92	ring	rew	214
146.42	prep	rew	214
147.92	dot	rew	214
155.67	iti	iti	NA
157.17	ring	neu	NA
160.53	iti	iti	NA
162.03	ring	neu	426
163.53	prep	neu	426
165.03	dot	neu	426
178.72	iti	iti	NA
180.22	ring	rew	NA
187.77	iti	iti	NA
189.27	ring	neu	7
190.77	prep	neu	7
192.27	dot	neu	7
197.51	iti	iti	NA
199.01	ring	neu	633
200.51	prep	neu	633
202.01	dot	neu	633
204.15	iti	iti	NA
205.65	ring	rew	426
207.15	prep	rew	426
208.65	dot	rew	426
219.38	iti	iti	NA
220.88	ring	rew	NA
222.38	prep	rew	NA
230.22	iti	iti	NA
231.72	ring	neu	NA
240.1	iti	iti	NA
241.6	ring	rew	214
243.1	prep	rew	214
244.6	dot	rew	214
247.57	iti	iti	NA
249.07	ring	rew	7
250.57	prep	rew	7
252.07	dot	rew	7
260.03	iti	iti	NA
261.53	ring	neu	633
263.03	prep	neu	633
264.53	dot	neu	633
269.32	iti	iti	NA
270.82	ring	neu	214
272.32	prep	neu	214
273.82	dot	neu	214
276.96	iti	iti	NA
278.46	ring	rew	NA
290.82	iti	iti	NA
292.32	ring	rew	633
293.82	prep	rew	633
295.32	dot	rew	633
302.7	iti	iti	NA
