onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	426
5.5	prep	rew	426
7	dot	rew	426
8.5	iti	iti	NA
14.9	ring	rew	NA
16.4	iti	iti	NA
18.53	ring	neu	214
20.03	prep	neu	214
21.53	dot	neu	214
23.03	iti	iti	NA
24.68	ring	neu	633
26.18	prep	neu	633
27.68	dot	neu	633
29.18	iti	iti	NA
31.49	ring	neu	NA
32.99	iti	iti	NA
34.58	ring	rew	633
36.08	prep	rew	633
37.58	dot	rew	633
39.08	iti	iti	NA
41.57	ring	rew	214
43.07	prep	rew	214
44.57	dot	rew	214
46.07	iti	iti	NA
47.59	ring	neu	7
49.09	prep	neu	7
50.59	dot	neu	7
52.09	iti	iti	NA
54.89	ring	rew	NA
56.39	iti	iti	NA
58.17	ring	neu	426
59.67	prep	neu	426
61.17	dot	neu	426
62.67	iti	iti	NA
64.73	ring	neu	633
66.23	prep	neu	633
67.73	dot	neu	633
69.23	iti	iti	NA
74.66	ring	rew	NA
76.16	iti	iti	NA
77.75	ring	rew	NA
79.25	iti	iti	NA
80.89	ring	neu	214
82.39	prep	neu	214
83.89	dot	neu	214
85.39	iti	iti	NA
87.04	ring	neu	426
88.54	prep	neu	426
90.04	dot	neu	426
91.54	iti	iti	NA
93.32	ring	rew	633
94.82	prep	rew	633
96.32	dot	rew	633
97.82	iti	iti	NA
102.15	ring	rew	7
103.65	prep	rew	7
105.15	dot	rew	7
106.65	iti	iti	NA
110.66	ring	neu	NA
112.16	prep	neu	NA
113.66	iti	iti	NA
117.84	ring	neu	214
119.34	prep	neu	214
120.84	dot	neu	214
122.34	iti	iti	NA
124.71	ring	neu	NA
126.21	iti	iti	NA
128.04	ring	neu	426
129.54	prep	neu	426
131.04	dot	neu	426
132.54	iti	iti	NA
134.76	ring	neu	633
136.26	prep	neu	633
137.76	dot	neu	633
139.26	iti	iti	NA
141.23	ring	neu	NA
142.73	iti	iti	NA
148.69	ring	rew	7
150.19	prep	rew	7
151.69	dot	rew	7
153.19	iti	iti	NA
155.3	ring	neu	633
156.8	prep	neu	633
158.3	dot	neu	633
159.8	iti	iti	NA
161.86	ring	rew	426
163.36	prep	rew	426
164.86	dot	rew	426
166.36	iti	iti	NA
167.97	ring	neu	7
169.47	prep	neu	7
170.97	dot	neu	7
172.47	iti	iti	NA
175.88	ring	neu	426
177.38	prep	neu	426
178.88	dot	neu	426
180.38	iti	iti	NA
182.71	ring	neu	NA
184.21	iti	iti	NA
187.79	ring	neu	NA
189.29	prep	neu	NA
190.79	iti	iti	NA
194.11	ring	rew	214
195.61	prep	rew	214
197.11	dot	rew	214
198.61	iti	iti	NA
201.81	ring	rew	633
203.31	prep	rew	633
204.81	dot	rew	633
206.31	iti	iti	NA
208.44	ring	rew	NA
209.94	iti	iti	NA
213.21	ring	rew	7
214.71	prep	rew	7
216.21	dot	rew	7
217.71	iti	iti	NA
219.43	ring	neu	NA
220.93	iti	iti	NA
225.9	ring	rew	214
227.4	prep	rew	214
228.9	dot	rew	214
230.4	iti	iti	NA
232.42	ring	rew	426
233.92	prep	rew	426
235.42	dot	rew	426
236.92	iti	iti	NA
238.69	ring	neu	7
240.19	prep	neu	7
241.69	dot	neu	7
243.19	iti	iti	NA
245.39	ring	rew	633
246.89	prep	rew	633
248.39	dot	rew	633
249.89	iti	iti	NA
251.41	ring	rew	NA
252.91	prep	rew	NA
254.41	iti	iti	NA
258.76	ring	neu	7
260.26	prep	neu	7
261.76	dot	neu	7
263.26	iti	iti	NA
265.33	ring	neu	214
266.83	prep	neu	214
268.33	dot	neu	214
269.83	iti	iti	NA
271.35	ring	rew	7
272.85	prep	rew	7
274.35	dot	rew	7
275.85	iti	iti	NA
277.82	ring	rew	426
279.32	prep	rew	426
280.82	dot	rew	426
282.32	iti	iti	NA
291.93	ring	rew	NA
293.43	prep	rew	NA
294.93	iti	iti	NA
298.16	ring	rew	214
299.66	prep	rew	214
301.16	dot	rew	214
302.66	iti	iti	NA
302.7	iti	NA	NA
