onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	214
5.5	prep	rew	214
7	dot	rew	214
8.77	iti	iti	NA
10.27	ring	rew	NA
11.77	prep	rew	NA
16.33	iti	iti	NA
17.83	ring	neu	7
19.33	prep	neu	7
20.83	dot	neu	7
34.5	iti	iti	NA
36	ring	neu	NA
47.44	iti	iti	NA
48.94	ring	rew	NA
53.41	iti	iti	NA
54.91	ring	rew	426
56.41	prep	rew	426
57.91	dot	rew	426
62.79	iti	iti	NA
64.29	ring	neu	NA
73.77	iti	iti	NA
75.27	ring	rew	7
76.77	prep	rew	7
78.27	dot	rew	7
90.01	iti	iti	NA
91.51	ring	rew	426
93.01	prep	rew	426
94.51	dot	rew	426
108.61	iti	iti	NA
110.11	ring	rew	NA
122.56	iti	iti	NA
124.06	ring	rew	NA
132.85	iti	iti	NA
134.35	ring	neu	7
135.85	prep	neu	7
137.35	dot	neu	7
140.69	iti	iti	NA
142.19	ring	neu	633
143.69	prep	neu	633
145.19	dot	neu	633
154.72	iti	iti	NA
156.22	ring	neu	NA
157.72	prep	neu	NA
167.18	iti	iti	NA
168.68	ring	rew	633
170.18	prep	rew	633
171.68	dot	rew	633
179.79	iti	iti	NA
181.29	ring	neu	NA
184.19	iti	iti	NA
185.69	ring	neu	426
187.19	prep	neu	426
188.69	dot	neu	426
190.96	iti	iti	NA
192.46	ring	neu	214
193.96	prep	neu	214
195.46	dot	neu	214
204.19	iti	iti	NA
205.69	ring	rew	7
207.19	prep	rew	7
208.69	dot	rew	7
217.41	iti	iti	NA
218.91	ring	rew	633
220.41	prep	rew	633
221.91	dot	rew	633
229.66	iti	iti	NA
231.16	ring	neu	633
232.66	prep	neu	633
234.16	dot	neu	633
242.23	iti	iti	NA
243.73	ring	neu	214
245.23	prep	neu	214
246.73	dot	neu	214
256.84	iti	iti	NA
258.34	ring	rew	214
259.84	prep	rew	214
261.34	dot	rew	214
270.68	iti	iti	NA
272.18	ring	neu	426
273.68	prep	neu	426
275.18	dot	neu	426
277.19	iti	iti	NA
278.69	ring	neu	7
280.19	prep	neu	7
281.69	dot	neu	7
291.93	iti	iti	NA
293.43	ring	rew	426
294.93	prep	rew	426
296.43	dot	rew	426
302.7	iti	iti	NA
