onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	NA
5.5	prep	rew	NA
7	iti	iti	NA
9.38	ring	neu	214
10.88	prep	neu	214
12.38	dot	neu	214
13.88	iti	iti	NA
16.89	ring	rew	426
18.39	prep	rew	426
19.89	dot	rew	426
21.39	iti	iti	NA
23.01	ring	rew	7
24.51	prep	rew	7
26.01	dot	rew	7
27.51	iti	iti	NA
30.8	ring	rew	NA
32.3	prep	rew	NA
33.8	iti	iti	NA
36.57	ring	rew	NA
38.07	iti	iti	NA
39.93	ring	neu	633
41.43	prep	neu	633
42.93	dot	neu	633
44.43	iti	iti	NA
45.99	ring	neu	214
47.49	prep	neu	214
48.99	dot	neu	214
50.49	iti	iti	NA
53.04	ring	neu	NA
54.54	iti	iti	NA
56.27	ring	neu	NA
57.77	iti	iti	NA
60.2	ring	rew	7
61.7	prep	rew	7
63.2	dot	rew	7
64.7	iti	iti	NA
67.88	ring	neu	633
69.38	prep	neu	633
70.88	dot	neu	633
72.38	iti	iti	NA
75.89	ring	neu	633
77.39	prep	neu	633
78.89	dot	neu	633
80.39	iti	iti	NA
82.26	ring	rew	214
83.76	prep	rew	214
85.26	dot	rew	214
86.76	iti	iti	NA
88.29	ring	rew	633
89.79	prep	rew	633
91.29	dot	rew	633
92.79	iti	iti	NA
98.34	ring	rew	NA
99.84	iti	iti	NA
102.13	ring	neu	426
103.63	prep	neu	426
105.13	dot	neu	426
106.63	iti	iti	NA
108.22	ring	neu	7
109.72	prep	neu	7
111.22	dot	neu	7
112.72	iti	iti	NA
115.29	ring	rew	426
116.79	prep	rew	426
118.29	dot	rew	426
119.79	iti	iti	NA
122.37	ring	rew	426
123.87	prep	rew	426
125.37	dot	rew	426
126.87	iti	iti	NA
129.13	ring	rew	NA
130.63	iti	iti	NA
132.73	ring	rew	NA
134.23	iti	iti	NA
137.97	ring	rew	7
139.47	prep	rew	7
140.97	dot	rew	7
142.47	iti	iti	NA
144.55	ring	neu	633
146.05	prep	neu	633
147.55	dot	neu	633
149.05	iti	iti	NA
156.9	ring	rew	NA
158.4	iti	iti	NA
163.16	ring	neu	426
164.66	prep	neu	426
166.16	dot	neu	426
167.66	iti	iti	NA
169.23	ring	neu	7
170.73	prep	neu	7
172.23	dot	neu	7
173.73	iti	iti	NA
175.85	ring	neu	NA
177.35	prep	neu	NA
178.85	iti	iti	NA
180.75	ring	neu	214
182.25	prep	neu	214
183.75	dot	neu	214
185.25	iti	iti	NA
188.58	ring	neu	NA
190.08	iti	iti	NA
192.13	ring	rew	214
193.63	prep	rew	214
195.13	dot	rew	214
196.63	iti	iti	NA
198.36	ring	neu	NA
199.86	prep	neu	NA
201.36	iti	iti	NA
203.96	ring	rew	633
205.46	prep	rew	633
206.96	dot	rew	633
208.46	iti	iti	NA
215.6	ring	neu	426
217.1	prep	neu	426
218.6	dot	neu	426
220.1	iti	iti	NA
222.12	ring	neu	214
223.62	prep	neu	214
225.12	dot	neu	214
226.62	iti	iti	NA
228.38	ring	rew	214
229.88	prep	rew	214
231.38	dot	rew	214
232.88	iti	iti	NA
235.14	ring	rew	633
236.64	prep	rew	633
238.14	dot	rew	633
239.64	iti	iti	NA
244.24	ring	neu	NA
245.74	iti	iti	NA
247.74	ring	neu	7
249.24	prep	neu	7
250.74	dot	neu	7
252.24	iti	iti	NA
253.76	ring	rew	633
255.26	prep	rew	633
256.76	dot	rew	633
258.26	iti	iti	NA
259.82	ring	rew	426
261.32	prep	rew	426
262.82	dot	rew	426
264.32	iti	iti	NA
268.04	ring	neu	NA
269.54	iti	iti	NA
271.04	ring	neu	426
272.54	prep	neu	426
274.04	dot	neu	426
275.54	iti	iti	NA
277.66	ring	neu	7
279.16	prep	neu	7
280.66	dot	neu	7
282.16	iti	iti	NA
285.39	ring	rew	7
286.89	prep	rew	7
288.39	dot	rew	7
289.89	iti	iti	NA
296.95	ring	rew	214
298.45	prep	rew	214
299.95	dot	rew	214
301.45	iti	iti	NA
302.7	iti	NA	NA
