onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	neu	214
5.5	prep	neu	214
7	dot	neu	214
8.5	iti	iti	NA
10	ring	neu	214
11.5	prep	neu	214
13	dot	neu	214
14.5	iti	iti	NA
17.11	ring	rew	7
18.61	prep	rew	7
20.11	dot	rew	7
21.61	iti	iti	NA
23.11	ring	neu	426
24.61	prep	neu	426
26.11	dot	neu	426
27.61	iti	iti	NA
29.18	ring	rew	633
30.68	prep	rew	633
32.18	dot	rew	633
33.68	iti	iti	NA
35.72	ring	rew	NA
37.22	prep	rew	NA
38.72	iti	iti	NA
43.97	ring	rew	7
45.47	prep	rew	7
46.97	dot	rew	7
48.47	iti	iti	NA
51	ring	rew	NA
52.5	iti	iti	NA
54.26	ring	rew	426
55.76	prep	rew	426
57.26	dot	rew	426
58.76	iti	iti	NA
63.53	ring	neu	NA
65.03	iti	iti	NA
70.39	ring	rew	214
71.89	prep	rew	214
73.39	dot	rew	214
74.89	iti	iti	NA
79.87	ring	rew	633
81.37	prep	rew	633
82.87	dot	rew	633
84.37	iti	iti	NA
86.32	ring	neu	633
87.82	prep	neu	633
89.32	dot	neu	633
90.82	iti	iti	NA
92.35	ring	neu	7
93.85	prep	neu	7
95.35	dot	neu	7
96.85	iti	iti	NA
98.63	ring	neu	NA
100.13	iti	iti	NA
102.41	ring	neu	NA
103.91	prep	neu	NA
105.41	iti	iti	NA
107.5	ring	rew	426
109	prep	rew	426
110.5	dot	rew	426
112	iti	iti	NA
113.57	ring	rew	633
115.07	prep	rew	633
116.57	dot	rew	633
118.07	iti	iti	NA
119.73	ring	rew	NA
121.23	prep	rew	NA
122.73	iti	iti	NA
124.38	ring	neu	214
125.88	prep	neu	214
127.38	dot	neu	214
128.88	iti	iti	NA
132.51	ring	neu	633
134.01	prep	neu	633
135.51	dot	neu	633
137.01	iti	iti	NA
139.64	ring	rew	214
141.14	prep	rew	214
142.64	dot	rew	214
144.14	iti	iti	NA
146.09	ring	neu	7
147.59	prep	neu	7
149.09	dot	neu	7
150.59	iti	iti	NA
154.15	ring	neu	426
155.65	prep	neu	426
157.15	dot	neu	426
158.65	iti	iti	NA
160.29	ring	rew	NA
161.79	iti	iti	NA
163.3	ring	rew	NA
164.8	iti	iti	NA
166.86	ring	rew	214
168.36	prep	rew	214
169.86	dot	rew	214
171.36	iti	iti	NA
181.25	ring	rew	7
182.75	prep	rew	7
184.25	dot	rew	7
185.75	iti	iti	NA
187.89	ring	neu	NA
189.39	iti	iti	NA
190.98	ring	neu	633
192.48	prep	neu	633
193.98	dot	neu	633
195.48	iti	iti	NA
197.13	ring	neu	426
198.63	prep	neu	426
200.13	dot	neu	426
201.63	iti	iti	NA
205.26	ring	rew	633
206.76	prep	rew	633
208.26	dot	rew	633
209.76	iti	iti	NA
211.93	ring	rew	7
213.43	prep	rew	7
214.93	dot	rew	7
216.43	iti	iti	NA
218.74	ring	neu	NA
220.24	iti	iti	NA
221.95	ring	rew	NA
223.45	iti	iti	NA
226.32	ring	rew	426
227.82	prep	rew	426
229.32	dot	rew	426
230.82	iti	iti	NA
233.31	ring	neu	7
234.81	prep	neu	7
236.31	dot	neu	7
237.81	iti	iti	NA
240.3	ring	neu	214
241.8	prep	neu	214
243.3	dot	neu	214
244.8	iti	iti	NA
246.39	ring	neu	NA
247.89	prep	neu	NA
249.39	iti	iti	NA
253.58	ring	neu	7
255.08	prep	neu	7
256.58	dot	neu	7
258.08	iti	iti	NA
263.74	ring	rew	NA
265.24	iti	iti	NA
266.9	ring	rew	426
268.4	prep	rew	426
269.9	dot	rew	426
271.4	iti	iti	NA
275.16	ring	rew	214
276.66	prep	rew	214
278.16	dot	rew	214
279.66	iti	iti	NA
285.12	ring	neu	NA
286.62	iti	iti	NA
289.46	ring	neu	633
290.96	prep	neu	633
292.46	dot	neu	633
293.96	iti	iti	NA
296.53	ring	neu	426
298.03	prep	neu	426
299.53	dot	neu	426
301.03	iti	iti	NA
302.7	iti	NA	NA
