onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	426
5.5	prep	rew	426
7	dot	rew	426
19.75	iti	iti	NA
21.25	ring	neu	NA
34.04	iti	iti	NA
35.54	ring	rew	NA
37.04	prep	rew	NA
40.03	iti	iti	NA
41.53	ring	neu	426
43.03	prep	neu	426
44.53	dot	neu	426
51.26	iti	iti	NA
52.76	ring	neu	633
54.26	prep	neu	633
55.76	dot	neu	633
63.96	iti	iti	NA
65.46	ring	neu	NA
71.11	iti	iti	NA
72.61	ring	neu	7
74.11	prep	neu	7
75.61	dot	neu	7
88.88	iti	iti	NA
90.38	ring	neu	NA
93.57	iti	iti	NA
95.07	ring	rew	426
96.57	prep	rew	426
98.07	dot	rew	426
101.73	iti	iti	NA
103.23	ring	rew	7
104.73	prep	rew	7
106.23	dot	rew	7
111.24	iti	iti	NA
112.74	ring	rew	NA
119.23	iti	iti	NA
120.73	ring	rew	NA
129.25	iti	iti	NA
130.75	ring	neu	214
132.25	prep	neu	214
133.75	dot	neu	214
144.19	iti	iti	NA
145.69	ring	rew	214
147.19	prep	rew	214
148.69	dot	rew	214
154.31	iti	iti	NA
155.81	ring	neu	NA
157.31	prep	neu	NA
167.32	iti	iti	NA
168.82	ring	rew	633
170.32	prep	rew	633
171.82	dot	rew	633
175.2	iti	iti	NA
176.7	ring	rew	7
178.2	prep	rew	7
179.7	dot	rew	7
192.23	iti	iti	NA
193.73	ring	neu	214
195.23	prep	neu	214
196.73	dot	neu	214
199.28	iti	iti	NA
200.78	ring	neu	633
202.28	prep	neu	633
203.78	dot	neu	633
215.3	iti	iti	NA
216.8	ring	rew	214
218.3	prep	rew	214
219.8	dot	rew	214
228.87	iti	iti	NA
230.37	ring	neu	214
231.87	prep	neu	214
233.37	dot	neu	214
237.56	iti	iti	NA
239.06	ring	neu	426
240.56	prep	neu	426
242.06	dot	neu	426
252.25	iti	iti	NA
253.75	ring	rew	NA
264.65	iti	iti	NA
266.15	ring	rew	633
267.65	prep	rew	633
269.15	dot	rew	633
280.71	iti	iti	NA
282.21	ring	neu	7
283.71	prep	neu	7
285.21	dot	neu	7
286.82	iti	iti	NA
288.32	ring	rew	7
289.82	prep	rew	7
291.32	dot	rew	7
302.7	iti	iti	NA
