onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	rew	633
5.5	prep	rew	633
7	dot	rew	633
8.5	iti	iti	NA
10.7	ring	rew	214
12.2	prep	rew	214
13.7	dot	rew	214
15.2	iti	iti	NA
17.43	ring	rew	NA
18.93	iti	iti	NA
20.87	ring	rew	426
22.37	prep	rew	426
23.87	dot	rew	426
25.37	iti	iti	NA
27.58	ring	rew	633
29.08	prep	rew	633
30.58	dot	rew	633
32.08	iti	iti	NA
34.42	ring	rew	NA
35.92	iti	iti	NA
38.83	ring	neu	633
40.33	prep	neu	633
41.83	dot	neu	633
43.33	iti	iti	NA
45.37	ring	neu	214
46.87	prep	neu	214
48.37	dot	neu	214
49.87	iti	iti	NA
54.03	ring	rew	NA
55.53	iti	iti	NA
57.94	ring	neu	633
59.44	prep	neu	633
60.94	dot	neu	633
62.44	iti	iti	NA
64.72	ring	rew	214
66.22	prep	rew	214
67.72	dot	rew	214
69.22	iti	iti	NA
72.21	ring	rew	7
73.71	prep	rew	7
75.21	dot	rew	7
76.71	iti	iti	NA
79.42	ring	rew	NA
80.92	prep	rew	NA
82.42	iti	iti	NA
89.46	ring	rew	7
90.96	prep	rew	7
92.46	dot	rew	7
93.96	iti	iti	NA
98.1	ring	rew	633
99.6	prep	rew	633
101.1	dot	rew	633
102.6	iti	iti	NA
104.11	ring	rew	NA
105.61	iti	iti	NA
114.3	ring	rew	NA
115.8	prep	rew	NA
117.3	iti	iti	NA
120.28	ring	neu	426
121.78	prep	neu	426
123.28	dot	neu	426
124.78	iti	iti	NA
128.17	ring	rew	NA
129.67	iti	iti	NA
131.44	ring	neu	7
132.94	prep	neu	7
134.44	dot	neu	7
135.94	iti	iti	NA
138.97	ring	neu	NA
140.47	iti	iti	NA
142.66	ring	neu	214
144.16	prep	neu	214
145.66	dot	neu	214
147.16	iti	iti	NA
148.74	ring	neu	426
150.24	prep	neu	426
151.74	dot	neu	426
153.24	iti	iti	NA
154.82	ring	neu	NA
156.32	prep	neu	NA
157.82	iti	iti	NA
161.21	ring	rew	7
162.71	prep	rew	7
164.21	dot	rew	7
165.71	iti	iti	NA
168.39	ring	rew	426
169.89	prep	rew	426
171.39	dot	rew	426
172.89	iti	iti	NA
175.18	ring	neu	633
176.68	prep	neu	633
178.18	dot	neu	633
179.68	iti	iti	NA
184.85	ring	neu	214
186.35	prep	neu	214
187.85	dot	neu	214
189.35	iti	iti	NA
191.3	ring	neu	NA
192.8	iti	iti	NA
195.62	ring	neu	7
197.12	prep	neu	7
198.62	dot	neu	7
200.12	iti	iti	NA
202.35	ring	neu	NA
203.85	iti	iti	NA
210.56	ring	rew	214
212.06	prep	rew	214
213.56	dot	rew	214
215.06	iti	iti	NA
218.42	ring	neu	633
219.92	prep	neu	633
221.42	dot	neu	633
222.92	iti	iti	NA
224.83	ring	neu	7
226.33	prep	neu	7
227.83	dot	neu	7
229.33	iti	iti	NA
230.91	ring	rew	426
232.41	prep	rew	426
233.91	dot	rew	426
235.41	iti	iti	NA
238.63	ring	neu	NA
240.13	prep	neu	NA
241.63	iti	iti	NA
243.78	ring	rew	214
245.28	prep	rew	214
246.78	dot	rew	214
248.28	iti	iti	NA
250.55	ring	neu	NA
252.05	iti	iti	NA
254.26	ring	rew	633
255.76	prep	rew	633
257.26	dot	rew	633
258.76	iti	iti	NA
260.39	ring	rew	426
261.89	prep	rew	426
263.39	dot	rew	426
264.89	iti	iti	NA
267.32	ring	neu	7
268.82	prep	neu	7
270.32	dot	neu	7
271.82	iti	iti	NA
274.13	ring	neu	426
275.63	prep	neu	426
277.13	dot	neu	426
278.63	iti	iti	NA
280.22	ring	rew	7
281.72	prep	rew	7
283.22	dot	rew	7
284.72	iti	iti	NA
286.74	ring	neu	NA
288.24	iti	iti	NA
290.59	ring	neu	426
292.09	prep	neu	426
293.59	dot	neu	426
295.09	iti	iti	NA
296.93	ring	neu	214
298.43	prep	neu	214
299.93	dot	neu	214
301.43	iti	iti	NA
302.7	iti	NA	NA
