,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
127,reward426,ring,531.0,0.065,426.0,rew,3.0,262.72764019994065,195.0
128,reward426,prep,532.0,0.065,426.0,rew,3.0,264.22764019994065,196.5
129,reward426,dot,533.0,0.065,426.0,rew,3.0,265.72764019994065,198.0
130,fix,iti,534.0,,,,3.0,267.22764019994065,199.5
131,reward633,ring,535.0,0.5825,633.0,rew,3.0,268.72764019994065,201.0
132,reward633,prep,536.0,0.5825,633.0,rew,3.0,270.22764019994065,202.5
133,reward633,dot,537.0,0.5825,633.0,rew,3.0,271.72764019994065,204.0
134,fix,iti,538.0,,,,3.0,273.22764019994065,205.5
135,neutral633,ring,539.0,0.5825,633.0,neu,3.0,274.72764019994065,207.0
136,neutral633,prep,540.0,0.5825,633.0,neu,3.0,276.22764019994065,208.5
137,neutral633,dot,541.0,0.5825,633.0,neu,3.0,277.72764019994065,210.0
138,fix,iti,542.0,,,,3.0,279.22764019994065,211.5
139,fix,iti,543.0,,,,3.0,280.72764019994065,213.0
140,fix,iti,544.0,,,,3.0,282.22764019994065,214.5
141,reward633,ring,545.0,0.5825,633.0,rew,3.0,283.72764019994065,216.0
142,reward633,prep,546.0,0.5825,633.0,rew,3.0,285.22764019994065,217.5
143,reward633,dot,547.0,0.5825,633.0,rew,3.0,286.72764019994065,219.0
144,fix,iti,548.0,,,,3.0,288.22764019994065,220.5
145,fix,iti,549.0,,,,3.0,289.72764019994065,222.0
146,fix,iti,550.0,,,,3.0,291.22764019994065,223.5
147,rewardCatch2,ring,551.0,,,rew,3.0,292.72764019994065,225.0
148,fix,iti,552.0,,,,3.0,294.22764019994065,226.5
149,rewardCatch2,ring,553.0,,,rew,3.0,295.72764019994065,228.0
150,fix,iti,554.0,,,,3.0,297.22764019994065,229.5
151,fix,iti,555.0,,,,3.0,298.72764019994065,231.0
152,fix,iti,556.0,,,,3.0,300.22764019994065,232.5
153,fix,iti,557.0,,,,3.0,301.72764019994065,234.0
154,neutral214,ring,558.0,-0.465,214.0,neu,3.0,303.22764019994065,235.5
155,neutral214,prep,559.0,-0.465,214.0,neu,3.0,304.72764019994065,237.0
156,neutral214,dot,560.0,-0.465,214.0,neu,3.0,306.22764019994065,238.5
157,fix,iti,561.0,,,,3.0,307.72764019994065,240.0
158,fix,iti,562.0,,,,3.0,309.22764019994065,241.5
159,fix,iti,563.0,,,,3.0,310.72764019994065,243.0
160,fix,iti,564.0,,,,3.0,312.22764019994065,244.5
161,fix,iti,565.0,,,,3.0,313.72764019994065,246.0
162,fix,iti,566.0,,,,3.0,315.22764019994065,247.5
163,fix,iti,567.0,,,,3.0,316.72764019994065,249.0
164,fix,iti,568.0,,,,3.0,318.22764019994065,250.5
165,fix,iti,569.0,,,,3.0,319.72764019994065,252.0
166,fix,iti,570.0,,,,3.0,321.22764019994065,253.5
167,reward007,ring,571.0,-0.9825,7.0,rew,3.0,322.72764019994065,255.0
168,reward007,prep,572.0,-0.9825,7.0,rew,3.0,324.22764019994065,256.5
169,reward007,dot,573.0,-0.9825,7.0,rew,3.0,325.72764019994065,258.0
170,fix,iti,574.0,,,,3.0,327.22764019994065,259.5
171,neutral007,ring,575.0,-0.9825,7.0,neu,3.0,328.72764019994065,261.0
172,neutral007,prep,576.0,-0.9825,7.0,neu,3.0,330.22764019994065,262.5
173,neutral007,dot,577.0,-0.9825,7.0,neu,3.0,331.72764019994065,264.0
174,fix,iti,578.0,,,,3.0,333.22764019994065,265.5
175,reward007,ring,579.0,-0.9825,7.0,rew,3.0,334.72764019994065,267.0
176,reward007,prep,580.0,-0.9825,7.0,rew,3.0,336.22764019994065,268.5
177,reward007,dot,581.0,-0.9825,7.0,rew,3.0,337.72764019994065,270.0
178,fix,iti,582.0,,,,3.0,339.22764019994065,271.5
179,neutralCatch1,ring,583.0,,,neu,3.0,340.72764019994065,273.0
180,neutralCatch1,prep,584.0,,,neu,3.0,342.22764019994065,274.5
181,fix,iti,585.0,,,,3.0,343.72764019994065,276.0
182,neutral108,ring,586.0,-0.73,108.0,neu,3.0,345.22764019994065,277.5
183,neutral108,prep,587.0,-0.73,108.0,neu,3.0,346.72764019994065,279.0
184,neutral108,dot,588.0,-0.73,108.0,neu,3.0,348.22764019994065,280.5
185,fix,iti,589.0,,,,3.0,349.72764019994065,282.0
186,neutral633,ring,590.0,0.5825,633.0,neu,3.0,351.22764019994065,283.5
187,neutral633,prep,591.0,0.5825,633.0,neu,3.0,352.72764019994065,285.0
188,neutral633,dot,592.0,0.5825,633.0,neu,3.0,354.22764019994065,286.5
189,fix,iti,593.0,,,,3.0,355.72764019994065,288.0
190,rewardCatch2,ring,594.0,,,rew,3.0,357.22764019994065,289.5
191,fix,iti,595.0,,,,3.0,358.72764019994065,291.0
192,fix,iti,596.0,,,,3.0,360.22764019994065,292.5
193,fix,iti,597.0,,,,3.0,361.72764019994065,294.0
194,fix,iti,598.0,,,,3.0,363.22764019994065,295.5
195,fix,iti,599.0,,,,3.0,364.72764019994065,297.0
196,fix,iti,600.0,,,,3.0,366.22764019994065,298.5
197,fix,iti,601.0,,,,3.0,367.72764019994065,300.0
198,fix,iti,602.0,,,,3.0,369.22764019994065,301.5
199,fix,iti,603.0,,,,3.0,370.72764019994065,303.0
200,fix,iti,604.0,,,,3.0,372.22764019994065,304.5
201,fix,iti,605.0,,,,3.0,373.72764019994065,306.0
