,event_name,index,run,epevent,position600,ring_type,position,onset,onset0
141,ring,141.0,1.0,reward007,7.0,rew,-0.9825,224.92406158999984,216.0
142,prep,142.0,1.0,reward007,7.0,rew,-0.9825,226.42406158999984,217.5
143,dot,143.0,1.0,reward007,7.0,rew,-0.9825,227.92406158999984,219.0
144,iti,144.0,1.0,fix,,,,229.42406158999984,220.5
145,iti,145.0,1.0,fix,,,,230.92406158999984,222.0
146,iti,146.0,1.0,fix,,,,232.42406158999984,223.5
147,iti,147.0,1.0,fix,,,,233.92406158999984,225.0
148,ring,148.0,1.0,reward633,633.0,rew,0.5825,235.42406158999984,226.5
149,prep,149.0,1.0,reward633,633.0,rew,0.5825,236.92406158999984,228.0
150,dot,150.0,1.0,reward633,633.0,rew,0.5825,238.42406158999984,229.5
151,iti,151.0,1.0,fix,,,,239.92406158999984,231.0
152,ring,152.0,1.0,reward214,214.0,rew,-0.465,241.42406158999984,232.5
153,prep,153.0,1.0,reward214,214.0,rew,-0.465,242.92406158999984,234.0
154,dot,154.0,1.0,reward214,214.0,rew,-0.465,244.42406158999984,235.5
155,iti,155.0,1.0,fix,,,,245.92406158999984,237.0
156,ring,156.0,1.0,rewardCatch1,,rew,,247.42406158999984,238.5
157,prep,157.0,1.0,rewardCatch1,,rew,,248.92406158999984,240.0
158,iti,158.0,1.0,fix,,,,250.42406158999984,241.5
159,ring,159.0,1.0,neutralCatch1,,neu,,251.92406158999984,243.0
160,prep,160.0,1.0,neutralCatch1,,neu,,253.42406158999984,244.5
161,iti,161.0,1.0,fix,,,,254.92406158999984,246.0
162,iti,162.0,1.0,fix,,,,256.42406158999984,247.5
163,iti,163.0,1.0,fix,,,,257.92406158999984,249.0
164,iti,164.0,1.0,fix,,,,259.42406158999984,250.5
165,iti,165.0,1.0,fix,,,,260.92406158999984,252.0
166,ring,166.0,1.0,reward214,214.0,rew,-0.465,262.42406158999984,253.5
167,prep,167.0,1.0,reward214,214.0,rew,-0.465,263.92406158999984,255.0
168,dot,168.0,1.0,reward214,214.0,rew,-0.465,265.42406158999984,256.5
169,iti,169.0,1.0,fix,,,,266.92406158999984,258.0
170,iti,170.0,1.0,fix,,,,268.42406158999984,259.5
171,iti,171.0,1.0,fix,,,,269.92406158999984,261.0
172,iti,172.0,1.0,fix,,,,271.42406158999984,262.5
173,ring,173.0,1.0,neutral108,108.0,neu,-0.73,272.92406158999984,264.0
174,prep,174.0,1.0,neutral108,108.0,neu,-0.73,274.42406158999984,265.5
175,dot,175.0,1.0,neutral108,108.0,neu,-0.73,275.92406158999984,267.0
176,iti,176.0,1.0,fix,,,,277.42406158999984,268.5
177,iti,177.0,1.0,fix,,,,278.92406158999984,270.0
178,iti,178.0,1.0,fix,,,,280.42406158999984,271.5
179,iti,179.0,1.0,fix,,,,281.92406158999984,273.0
180,iti,180.0,1.0,fix,,,,283.42406158999984,274.5
181,iti,181.0,1.0,fix,,,,284.92406158999984,276.0
182,iti,182.0,1.0,fix,,,,286.42406158999984,277.5
183,iti,183.0,1.0,fix,,,,287.92406158999984,279.0
184,ring,184.0,1.0,rewardCatch2,,rew,,289.42406158999984,280.5
185,iti,185.0,1.0,fix,,,,290.92406158999984,282.0
186,ring,186.0,1.0,neutralCatch1,,neu,,292.42406158999984,283.5
187,prep,187.0,1.0,neutralCatch1,,neu,,293.92406158999984,285.0
188,iti,188.0,1.0,fix,,,,295.42406158999984,286.5
189,ring,189.0,1.0,rewardCatch1,,rew,,296.92406158999984,288.0
190,prep,190.0,1.0,rewardCatch1,,rew,,298.42406158999984,289.5
