,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
77,neutral214,prep,77.0,-0.465,214.0,neu,1.0,147.51216229982674,120.0
78,neutral214,dot,78.0,-0.465,214.0,neu,1.0,149.01216229982674,121.5
79,fix,iti,79.0,,,,1.0,150.51216229982674,123.0
80,fix,iti,80.0,,,,1.0,152.01216229982674,124.5
81,fix,iti,81.0,,,,1.0,153.51216229982674,126.0
82,reward108,ring,82.0,-0.73,108.0,rew,1.0,155.01216229982674,127.5
83,reward108,prep,83.0,-0.73,108.0,rew,1.0,156.51216229982674,129.0
84,reward108,dot,84.0,-0.73,108.0,rew,1.0,158.01216229982674,130.5
85,fix,iti,85.0,,,,1.0,159.51216229982674,132.0
86,neutral007,ring,86.0,-0.9825,7.0,neu,1.0,161.01216229982674,133.5
87,neutral007,prep,87.0,-0.9825,7.0,neu,1.0,162.51216229982674,135.0
88,neutral007,dot,88.0,-0.9825,7.0,neu,1.0,164.01216229982674,136.5
89,fix,iti,89.0,,,,1.0,165.51216229982674,138.0
90,neutralCatch2,ring,90.0,,,neu,1.0,167.01216229982674,139.5
91,fix,iti,91.0,,,,1.0,168.51216229982674,141.0
92,neutral426,ring,92.0,0.065,426.0,neu,1.0,170.01216229982674,142.5
93,neutral426,prep,93.0,0.065,426.0,neu,1.0,171.51216229982674,144.0
94,neutral426,dot,94.0,0.065,426.0,neu,1.0,173.01216229982674,145.5
95,fix,iti,95.0,,,,1.0,174.51216229982674,147.0
96,fix,iti,96.0,,,,1.0,176.01216229982674,148.5
97,fix,iti,97.0,,,,1.0,177.51216229982674,150.0
98,fix,iti,98.0,,,,1.0,179.01216229982674,151.5
99,fix,iti,99.0,,,,1.0,180.51216229982674,153.0
100,fix,iti,100.0,,,,1.0,182.01216229982674,154.5
101,neutral214,ring,101.0,-0.465,214.0,neu,1.0,183.51216229982674,156.0
102,neutral214,prep,102.0,-0.465,214.0,neu,1.0,185.01216229982674,157.5
103,neutral214,dot,103.0,-0.465,214.0,neu,1.0,186.51216229982674,159.0
104,fix,iti,104.0,,,,1.0,188.01216229982674,160.5
105,rewardCatch2,ring,105.0,,,rew,1.0,189.51216229982674,162.0
106,fix,iti,106.0,,,,1.0,191.01216229982674,163.5
107,rewardCatch1,ring,107.0,,,rew,1.0,192.51216229982674,165.0
108,rewardCatch1,prep,108.0,,,rew,1.0,194.01216229982674,166.5
109,fix,iti,109.0,,,,1.0,195.51216229982674,168.0
110,fix,iti,110.0,,,,1.0,197.01216229982674,169.5
111,fix,iti,111.0,,,,1.0,198.51216229982674,171.0
112,fix,iti,112.0,,,,1.0,200.01216229982674,172.5
113,reward426,ring,113.0,0.065,426.0,rew,1.0,201.51216229982674,174.0
114,reward426,prep,114.0,0.065,426.0,rew,1.0,203.01216229982674,175.5
115,reward426,dot,115.0,0.065,426.0,rew,1.0,204.51216229982674,177.0
116,fix,iti,116.0,,,,1.0,206.01216229982674,178.5
117,neutral633,ring,117.0,0.5825,633.0,neu,1.0,207.51216229982674,180.0
118,neutral633,prep,118.0,0.5825,633.0,neu,1.0,209.01216229982674,181.5
119,neutral633,dot,119.0,0.5825,633.0,neu,1.0,210.51216229982674,183.0
120,fix,iti,120.0,,,,1.0,212.01216229982674,184.5
121,reward108,ring,121.0,-0.73,108.0,rew,1.0,213.51216229982674,186.0
122,reward108,prep,122.0,-0.73,108.0,rew,1.0,215.01216229982674,187.5
123,reward108,dot,123.0,-0.73,108.0,rew,1.0,216.51216229982674,189.0
124,fix,iti,124.0,,,,1.0,218.01216229982674,190.5
125,neutralCatch2,ring,125.0,,,neu,1.0,219.51216229982674,192.0
126,fix,iti,126.0,,,,1.0,221.01216229982674,193.5
127,fix,iti,127.0,,,,1.0,222.51216229982674,195.0
128,fix,iti,128.0,,,,1.0,224.01216229982674,196.5
129,neutral532,ring,129.0,0.33,532.0,neu,1.0,225.51216229982674,198.0
130,neutral532,prep,130.0,0.33,532.0,neu,1.0,227.01216229982674,199.5
131,neutral532,dot,131.0,0.33,532.0,neu,1.0,228.51216229982674,201.0
132,fix,iti,132.0,,,,1.0,230.01216229982674,202.5
133,neutral007,ring,133.0,-0.9825,7.0,neu,1.0,231.51216229982674,204.0
134,neutral007,prep,134.0,-0.9825,7.0,neu,1.0,233.01216229982674,205.5
135,neutral007,dot,135.0,-0.9825,7.0,neu,1.0,234.51216229982674,207.0
136,fix,iti,136.0,,,,1.0,236.01216229982674,208.5
137,neutral532,ring,137.0,0.33,532.0,neu,1.0,237.51216229982674,210.0
138,neutral532,prep,138.0,0.33,532.0,neu,1.0,239.01216229982674,211.5
139,neutral532,dot,139.0,0.33,532.0,neu,1.0,240.51216229982674,213.0
140,fix,iti,140.0,,,,1.0,242.01216229982674,214.5
141,reward007,ring,141.0,-0.9825,7.0,rew,1.0,243.51216229982674,216.0
142,reward007,prep,142.0,-0.9825,7.0,rew,1.0,245.01216229982674,217.5
143,reward007,dot,143.0,-0.9825,7.0,rew,1.0,246.51216229982674,219.0
144,fix,iti,144.0,,,,1.0,248.01216229982674,220.5
145,fix,iti,145.0,,,,1.0,249.51216229982674,222.0
146,fix,iti,146.0,,,,1.0,251.01216229982674,223.5
147,fix,iti,147.0,,,,1.0,252.51216229982674,225.0
148,reward633,ring,148.0,0.5825,633.0,rew,1.0,254.01216229982674,226.5
149,reward633,prep,149.0,0.5825,633.0,rew,1.0,255.51216229982674,228.0
150,reward633,dot,150.0,0.5825,633.0,rew,1.0,257.01216229982674,229.5
151,fix,iti,151.0,,,,1.0,258.51216229982674,231.0
152,reward214,ring,152.0,-0.465,214.0,rew,1.0,260.01216229982674,232.5
153,reward214,prep,153.0,-0.465,214.0,rew,1.0,261.51216229982674,234.0
154,reward214,dot,154.0,-0.465,214.0,rew,1.0,263.01216229982674,235.5
155,fix,iti,155.0,,,,1.0,264.51216229982674,237.0
156,rewardCatch1,ring,156.0,,,rew,1.0,266.01216229982674,238.5
157,rewardCatch1,prep,157.0,,,rew,1.0,267.51216229982674,240.0
158,fix,iti,158.0,,,,1.0,269.01216229982674,241.5
159,neutralCatch1,ring,159.0,,,neu,1.0,270.51216229982674,243.0
160,neutralCatch1,prep,160.0,,,neu,1.0,272.01216229982674,244.5
161,fix,iti,161.0,,,,1.0,273.51216229982674,246.0
162,fix,iti,162.0,,,,1.0,275.01216229982674,247.5
163,fix,iti,163.0,,,,1.0,276.51216229982674,249.0
164,fix,iti,164.0,,,,1.0,278.01216229982674,250.5
165,fix,iti,165.0,,,,1.0,279.51216229982674,252.0
166,reward214,ring,166.0,-0.465,214.0,rew,1.0,281.01216229982674,253.5
167,reward214,prep,167.0,-0.465,214.0,rew,1.0,282.51216229982674,255.0
168,reward214,dot,168.0,-0.465,214.0,rew,1.0,284.01216229982674,256.5
169,fix,iti,169.0,,,,1.0,285.51216229982674,258.0
170,fix,iti,170.0,,,,1.0,287.01216229982674,259.5
171,fix,iti,171.0,,,,1.0,288.51216229982674,261.0
172,fix,iti,172.0,,,,1.0,290.01216229982674,262.5
173,neutral108,ring,173.0,-0.73,108.0,neu,1.0,291.51216229982674,264.0
174,neutral108,prep,174.0,-0.73,108.0,neu,1.0,293.01216229982674,265.5
175,neutral108,dot,175.0,-0.73,108.0,neu,1.0,294.51216229982674,267.0
176,fix,iti,176.0,,,,1.0,296.01216229982674,268.5
177,fix,iti,177.0,,,,1.0,297.51216229982674,270.0
178,fix,iti,178.0,,,,1.0,299.01216229982674,271.5
179,fix,iti,179.0,,,,1.0,300.51216229982674,273.0
180,fix,iti,180.0,,,,1.0,302.01216229982674,274.5
181,fix,iti,181.0,,,,1.0,303.51216229982674,276.0
182,fix,iti,182.0,,,,1.0,305.01216229982674,277.5
183,fix,iti,183.0,,,,1.0,306.51216229982674,279.0
184,rewardCatch2,ring,184.0,,,rew,1.0,308.01216229982674,280.5
185,fix,iti,185.0,,,,1.0,309.51216229982674,282.0
186,neutralCatch1,ring,186.0,,,neu,1.0,311.01216229982674,283.5
187,neutralCatch1,prep,187.0,,,neu,1.0,312.51216229982674,285.0
188,fix,iti,188.0,,,,1.0,314.01216229982674,286.5
189,rewardCatch1,ring,189.0,,,rew,1.0,315.51216229982674,288.0
190,rewardCatch1,prep,190.0,,,rew,1.0,317.01216229982674,289.5
191,fix,iti,191.0,,,,1.0,318.51216229982674,291.0
192,fix,iti,192.0,,,,1.0,320.01216229982674,292.5
193,fix,iti,193.0,,,,1.0,321.51216229982674,294.0
194,fix,iti,194.0,,,,1.0,323.01216229982674,295.5
195,fix,iti,195.0,,,,1.0,324.51216229982674,297.0
196,fix,iti,196.0,,,,1.0,326.01216229982674,298.5
197,fix,iti,197.0,,,,1.0,327.51216229982674,300.0
198,fix,iti,198.0,,,,1.0,329.01216229982674,301.5
199,fix,iti,199.0,,,,1.0,330.51216229982674,303.0
200,fix,iti,200.0,,,,1.0,332.01216229982674,304.5
201,fix,iti,201.0,,,,1.0,333.51216229982674,306.0
