,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
0,,iti,,,,,,27.51216229982674,0.0
1,,iti,,,,,,29.01216229982674,1.5
2,,iti,,,,,,30.51216229982674,3.0
0,neutral426,ring,0.0,0.065,426.0,neu,1.0,32.01216229982674,4.5
1,neutral426,prep,1.0,0.065,426.0,neu,1.0,33.51216229982674,6.0
2,neutral426,dot,2.0,0.065,426.0,neu,1.0,35.01216229982674,7.5
3,fix,iti,3.0,,,,1.0,36.51216229982674,9.0
4,reward007,ring,4.0,-0.9825,7.0,rew,1.0,38.01216229982674,10.5
5,reward007,prep,5.0,-0.9825,7.0,rew,1.0,39.51216229982674,12.0
6,reward007,dot,6.0,-0.9825,7.0,rew,1.0,41.01216229982674,13.5
7,fix,iti,7.0,,,,1.0,42.51216229982674,15.0
8,neutralCatch1,ring,8.0,,,neu,1.0,44.01216229982674,16.5
9,neutralCatch1,prep,9.0,,,neu,1.0,45.51216229982674,18.0
10,fix,iti,10.0,,,,1.0,47.01216229982674,19.5
11,neutral633,ring,11.0,0.5825,633.0,neu,1.0,48.51216229982674,21.0
12,neutral633,prep,12.0,0.5825,633.0,neu,1.0,50.01216229982674,22.5
13,neutral633,dot,13.0,0.5825,633.0,neu,1.0,51.51216229982674,24.0
14,fix,iti,14.0,,,,1.0,53.01216229982674,25.5
15,fix,iti,15.0,,,,1.0,54.51216229982674,27.0
16,fix,iti,16.0,,,,1.0,56.01216229982674,28.5
17,neutralCatch2,ring,17.0,,,neu,1.0,57.51216229982674,30.0
18,fix,iti,18.0,,,,1.0,59.01216229982674,31.5
19,reward633,ring,19.0,0.5825,633.0,rew,1.0,60.51216229982674,33.0
20,reward633,prep,20.0,0.5825,633.0,rew,1.0,62.01216229982674,34.5
21,reward633,dot,21.0,0.5825,633.0,rew,1.0,63.51216229982674,36.0
22,fix,iti,22.0,,,,1.0,65.01216229982674,37.5
23,fix,iti,23.0,,,,1.0,66.51216229982674,39.0
24,fix,iti,24.0,,,,1.0,68.01216229982674,40.5
25,fix,iti,25.0,,,,1.0,69.51216229982674,42.0
26,fix,iti,26.0,,,,1.0,71.01216229982674,43.5
27,fix,iti,27.0,,,,1.0,72.51216229982674,45.0
28,rewardCatch2,ring,28.0,,,rew,1.0,74.01216229982674,46.5
29,fix,iti,29.0,,,,1.0,75.51216229982674,48.0
30,reward426,ring,30.0,0.065,426.0,rew,1.0,77.01216229982674,49.5
31,reward426,prep,31.0,0.065,426.0,rew,1.0,78.51216229982674,51.0
32,reward426,dot,32.0,0.065,426.0,rew,1.0,80.01216229982674,52.5
33,fix,iti,33.0,,,,1.0,81.51216229982674,54.0
34,neutral108,ring,34.0,-0.73,108.0,neu,1.0,83.01216229982674,55.5
35,neutral108,prep,35.0,-0.73,108.0,neu,1.0,84.51216229982674,57.0
36,neutral108,dot,36.0,-0.73,108.0,neu,1.0,86.01216229982674,58.5
37,fix,iti,37.0,,,,1.0,87.51216229982674,60.0
38,fix,iti,38.0,,,,1.0,89.01216229982674,61.5
39,fix,iti,39.0,,,,1.0,90.51216229982674,63.0
40,fix,iti,40.0,,,,1.0,92.01216229982674,64.5
41,reward633,ring,41.0,0.5825,633.0,rew,1.0,93.51216229982674,66.0
42,reward633,prep,42.0,0.5825,633.0,rew,1.0,95.01216229982674,67.5
43,reward633,dot,43.0,0.5825,633.0,rew,1.0,96.51216229982674,69.0
44,fix,iti,44.0,,,,1.0,98.01216229982674,70.5
45,fix,iti,45.0,,,,1.0,99.51216229982674,72.0
46,fix,iti,46.0,,,,1.0,101.01216229982674,73.5
47,fix,iti,47.0,,,,1.0,102.51216229982674,75.0
48,neutral633,ring,48.0,0.5825,633.0,neu,1.0,104.01216229982674,76.5
49,neutral633,prep,49.0,0.5825,633.0,neu,1.0,105.51216229982674,78.0
50,neutral633,dot,50.0,0.5825,633.0,neu,1.0,107.01216229982674,79.5
51,fix,iti,51.0,,,,1.0,108.51216229982674,81.0
52,neutral007,ring,52.0,-0.9825,7.0,neu,1.0,110.01216229982674,82.5
53,neutral007,prep,53.0,-0.9825,7.0,neu,1.0,111.51216229982674,84.0
54,neutral007,dot,54.0,-0.9825,7.0,neu,1.0,113.01216229982674,85.5
55,fix,iti,55.0,,,,1.0,114.51216229982674,87.0
56,reward532,ring,56.0,0.33,532.0,rew,1.0,116.01216229982674,88.5
57,reward532,prep,57.0,0.33,532.0,rew,1.0,117.51216229982674,90.0
58,reward532,dot,58.0,0.33,532.0,rew,1.0,119.01216229982674,91.5
59,fix,iti,59.0,,,,1.0,120.51216229982674,93.0
60,reward007,ring,60.0,-0.9825,7.0,rew,1.0,122.01216229982674,94.5
61,reward007,prep,61.0,-0.9825,7.0,rew,1.0,123.51216229982674,96.0
62,reward007,dot,62.0,-0.9825,7.0,rew,1.0,125.01216229982674,97.5
63,fix,iti,63.0,,,,1.0,126.51216229982674,99.0
64,reward532,ring,64.0,0.33,532.0,rew,1.0,128.01216229982674,100.5
65,reward532,prep,65.0,0.33,532.0,rew,1.0,129.51216229982674,102.0
66,reward532,dot,66.0,0.33,532.0,rew,1.0,131.01216229982674,103.5
67,fix,iti,67.0,,,,1.0,132.51216229982674,105.0
68,fix,iti,68.0,,,,1.0,134.01216229982674,106.5
69,fix,iti,69.0,,,,1.0,135.51216229982674,108.0
70,fix,iti,70.0,,,,1.0,137.01216229982674,109.5
71,fix,iti,71.0,,,,1.0,138.51216229982674,111.0
72,fix,iti,72.0,,,,1.0,140.01216229982674,112.5
73,fix,iti,73.0,,,,1.0,141.51216229982674,114.0
74,fix,iti,74.0,,,,1.0,143.01216229982674,115.5
75,fix,iti,75.0,,,,1.0,144.51216229982674,117.0
76,neutral214,ring,76.0,-0.465,214.0,neu,1.0,146.01216229982674,118.5
